Date,Close
2015-01-09,8280.25
2015-01-12,8326.55
2015-01-13,8303.8
2015-01-14,8287.75
2015-01-15,8461.15
2015-01-19,8550.3
2015-01-20,8691.25
2015-01-21,8728.05
2015-01-22,8762.2
2015-01-23,8823.55
2015-01-27,8904.2
2015-01-28,8906.8
2015-01-29,8950.2
2015-01-30,8821.45
2015-02-02,8798.15
2015-02-03,8746.65
2015-02-04,8713.95
2015-02-05,8699.4
2015-02-06,8666.0
2015-02-09,8518.3
2015-02-10,8578.85
2015-02-11,8635.5
2015-02-12,8728.4
2015-02-13,8803.05
2015-02-16,8808.7
2015-02-18,8865.25
2015-02-19,8898.35
2015-02-20,8827.7
2015-02-23,8742.8
2015-02-24,8760.8
2015-02-25,8765.25
2015-02-26,8694.65
2015-02-27,8850.65
2015-02-28,8920.75
2015-03-02,8961.55
2015-03-03,8996.75
2015-03-04,8918.4
2015-03-05,8937.75
2015-03-09,8743.25
2015-03-10,8725.6
2015-03-11,8701.8
2015-03-12,8771.4
2015-03-13,8661.1
2015-03-16,8639.6
2015-03-17,8722.35
2015-03-18,8680.9
2015-03-19,8622.9
2015-03-20,8584.85
2015-03-23,8550.95
2015-03-24,8549.9
2015-03-25,8517.0
2015-03-26,8382.3
2015-03-27,8348.05
2015-03-30,8501.35
2015-03-31,8480.9
2015-04-01,8590.3
2015-04-06,8652.0
2015-04-07,8676.9
2015-04-08,8717.35
2015-04-09,8774.25
2015-04-10,8767.55
2015-04-13,8825.9
2015-04-15,8735.5
2015-04-16,8693.25
2015-04-17,8602.05
2015-04-20,8443.0
2015-04-21,8398.1
2015-04-22,8436.5
2015-04-23,8387.95
2015-04-24,8320.15
2015-04-27,8203.15
2015-04-28,8264.85
2015-04-29,8236.4
2015-04-30,8204.95
2015-05-04,8342.65
2015-05-05,8321.1
2015-05-06,8092.45
2015-05-07,8047.15
2015-05-08,8190.3
2015-05-11,8320.05
2015-05-12,8125.0
2015-05-13,8237.4
2015-05-14,8221.15
2015-05-15,8254.75
2015-05-18,8376.2
2015-05-19,8357.05
2015-05-20,8413.15
2015-05-21,8419.05
2015-05-22,8448.35
2015-05-25,8366.9
2015-05-26,8354.8
2015-05-27,8337.1
2015-05-28,8319.0
2015-05-29,8432.95
2015-06-01,8422.55
2015-06-02,8232.25
2015-06-03,8148.55
2015-06-04,8136.95
2015-06-05,8113.9
2015-06-08,8036.95
2015-06-09,8015.45
2015-06-10,8125.5
2015-06-11,7964.85
2015-06-12,7991.45
2015-06-15,8006.15
2015-06-16,8057.2
2015-06-17,8089.7
2015-06-18,8178.35
2015-06-19,8232.95
2015-06-22,8352.3
2015-06-23,8381.1
2015-06-24,8339.85
2015-06-25,8415.05
2015-06-26,8382.2
2015-06-29,8326.4
2015-06-30,8371.6
2015-07-01,8462.5
2015-07-02,8440.95
2015-07-03,8486.35
2015-07-06,8523.4
2015-07-07,8516.95
2015-07-08,8354.65
2015-07-09,8335.15
2015-07-10,8357.05
2015-07-13,8461.4
2015-07-14,8442.4
2015-07-15,8526.0
2015-07-16,8610.8
2015-07-17,8613.85
2015-07-20,8602.3
2015-07-21,8531.9
2015-07-22,8631.65
2015-07-23,8586.8
2015-07-24,8527.1
2015-07-27,8362.0
2015-07-28,8341.2
2015-07-29,8380.35
2015-07-30,8429.05
2015-07-31,8530.95
2015-08-03,8538.7
2015-08-04,8524.25
2015-08-05,8567.05
2015-08-06,8587.0
2015-08-07,8570.45
2015-08-10,8502.9
2015-08-11,8467.4
2015-08-12,8353.95
2015-08-13,8383.15
2015-08-14,8518.9
2015-08-17,8471.85
2015-08-18,8466.25
2015-08-19,8493.9
2015-08-20,8387.2
2015-08-21,8284.65
2015-08-24,7798.95
2015-08-25,7906.35
2015-08-26,7789.15
2015-08-27,7960.25
2015-08-28,7995.75
2015-08-31,7971.0
2015-09-01,7781.4
2015-09-02,7727.65
2015-09-03,7831.25
2015-09-04,7655.95
2015-09-07,7552.95
2015-09-08,7701.85
2015-09-09,7804.85
2015-09-10,7819.3
2015-09-11,7783.65
2015-09-14,7867.85
2015-09-15,7818.45
2015-09-16,7888.15
2015-09-18,7967.4
2015-09-21,7983.4
2015-09-22,7789.8
2015-09-23,7856.95
2015-09-24,7868.5
2015-09-28,7802.45
2015-09-29,7829.7
2015-09-30,7947.25
2015-10-01,7947.1
2015-10-05,8126.4
2015-10-06,8148.55
2015-10-07,8182.4
2015-10-08,8127.7
2015-10-09,8178.0
2015-10-12,8144.25
2015-10-13,8128.15
2015-10-14,8108.7
2015-10-15,8178.75
2015-10-16,8241.5
2015-10-19,8271.55
2015-10-20,8253.6
2015-10-21,8249.1
2015-10-23,8296.85
2015-10-26,8254.5
2015-10-27,8227.85
2015-10-28,8177.2
2015-10-29,8118.7
2015-10-30,8056.35
2015-11-02,8050.95
2015-11-03,8047.9
2015-11-04,8030.35
2015-11-05,7947.95
2015-11-06,7962.15
2015-11-09,7911.35
2015-11-10,7783.45
2015-11-13,7761.1
2015-11-16,7808.65
2015-11-17,7830.35
2015-11-18,7729.05
2015-11-19,7844.75
2015-11-20,7851.8
2015-11-23,7847.55
2015-11-24,7832.4
2015-11-26,7892.55
2015-11-27,7945.65
2015-11-30,7939.5
2015-12-01,7955.15
2015-12-02,7924.25
2015-12-03,7865.5
2015-12-04,7787.7
2015-12-07,7765.5
2015-12-08,7690.3
2015-12-09,7618.25
2015-12-10,7682.55
2015-12-11,7610.1
2015-12-14,7659.25
2015-12-15,7692.6
2015-12-16,7751.65
2015-12-17,7838.4
2015-12-18,7763.05
2015-12-21,7830.6
2015-12-22,7787.25
2015-12-23,7862.5
2015-12-24,7863.0
2015-12-28,7917.4
2015-12-29,7930.3
2015-12-30,7895.1
2015-12-31,7939.75
2016-01-01,7957.45
2016-01-04,7789.15
2016-01-05,7779.0
2016-01-06,7733.4
2016-01-07,7569.65
2016-01-08,7607.15
2016-01-11,7572.1
2016-01-12,7510.65
2016-01-13,7556.65
2016-01-14,7541.0
2016-01-15,7433.95
2016-01-18,7351.15
2016-01-19,7440.05
2016-01-20,7317.0
2016-01-21,7280.05
2016-01-22,7422.9
2016-01-25,7436.4
2016-01-27,7431.35
2016-01-28,7426.6
2016-01-29,7559.4
2016-02-01,7549.45
2016-02-02,7440.7
2016-02-03,7373.3
2016-02-04,7412.8
2016-02-05,7500.1
2016-02-08,7365.05
2016-02-09,7301.0
2016-02-10,7220.25
2016-02-11,6975.7
2016-02-12,6970.55
2016-02-15,7158.2
2016-02-16,7044.6
2016-02-17,7120.7
2016-02-18,7178.5
2016-02-19,7202.0
2016-02-22,7232.9
2016-02-23,7094.55
2016-02-24,7020.45
2016-02-25,6983.4
2016-02-26,7035.95
2016-02-29,6998.55
2016-03-01,7228.55
2016-03-02,7376.25
2016-03-03,7473.05
2016-03-04,7501.85
2016-03-08,7482.0
2016-03-09,7532.5
2016-03-10,7481.8
2016-03-11,7514.35
2016-03-14,7529.6
2016-03-15,7463.1
2016-03-16,7502.2
2016-03-17,7489.6
2016-03-18,7600.6
2016-03-21,7703.55
2016-03-22,7713.3
2016-03-23,7705.2
2016-03-28,7630.45
2016-03-29,7593.0
2016-03-30,7737.05
2016-03-31,7748.15
2016-04-01,7712.75
2016-04-04,7756.5
2016-04-05,7592.95
2016-04-06,7618.3
2016-04-07,7542.15
2016-04-08,7558.3
2016-04-11,7664.3
2016-04-12,7709.15
2016-04-13,7848.1
2016-04-18,7907.8
2016-04-20,7919.3
2016-04-21,7897.0
2016-04-22,7902.55
2016-04-25,7864.85
2016-04-26,7955.4
2016-04-27,7976.75
2016-04-28,7851.05
2016-04-29,7845.5
2016-05-02,7807.15
2016-05-03,7742.75
2016-05-04,7700.35
2016-05-05,7738.7
2016-05-06,7734.25
2016-05-09,7868.55
2016-05-10,7889.9
2016-05-11,7851.85
2016-05-12,7905.2
2016-05-13,7813.6
2016-05-16,7859.3
2016-05-17,7887.5
2016-05-18,7872.85
2016-05-19,7767.1
2016-05-20,7760.0
2016-05-23,7729.35
2016-05-24,7759.9
2016-05-25,7932.8
2016-05-26,8077.95
2016-05-27,8149.35
2016-05-30,8172.0
2016-05-31,8160.55
2016-06-01,8180.2
2016-06-02,8216.95
2016-06-03,8212.85
2016-06-06,8205.45
2016-06-07,8264.6
2016-06-08,8269.7
2016-06-09,8200.05
2016-06-10,8172.65
2016-06-13,8113.0
2016-06-14,8111.55
2016-06-15,8199.4
2016-06-16,8131.1
2016-06-17,8156.05
2016-06-20,8235.25
2016-06-21,8208.4
2016-06-22,8194.35
2016-06-23,8269.45
2016-06-24,8076.75
2016-06-27,8092.2
2016-06-28,8127.05
2016-06-29,8202.55
2016-06-30,8285.9
2016-07-01,8327.6
2016-07-04,8370.4
2016-07-05,8329.65
2016-07-07,8342.6
2016-07-08,8325.55
2016-07-11,8469.95
2016-07-12,8516.15
2016-07-13,8504.75
2016-07-14,8563.6
2016-07-15,8538.3
2016-07-18,8497.35
2016-07-19,8535.4
2016-07-20,8566.65
2016-07-21,8505.15
2016-07-22,8546.45
2016-07-25,8630.4
2016-07-26,8584.7
2016-07-27,8609.35
2016-07-28,8666.2
2016-07-29,8642.3
2016-08-01,8647.15
2016-08-02,8627.65
2016-08-03,8540.7
2016-08-04,8561.75
2016-08-05,8679.3
2016-08-08,8700.25
2016-08-09,8670.55
2016-08-10,8567.9
2016-08-11,8594.05
2016-08-12,8656.0
2016-08-16,8638.9
2016-08-17,8622.6
2016-08-18,8668.7
2016-08-19,8667.15
2016-08-22,8626.9
2016-08-23,8639.3
2016-08-24,8647.6
2016-08-25,8590.55
2016-08-26,8573.55
2016-08-29,8619.2
2016-08-30,8745.1
2016-08-31,8783.3
2016-09-01,8779.2
2016-09-02,8804.7
2016-09-06,8944.2
2016-09-07,8923.95
2016-09-08,8948.45
2016-09-09,8864.6
2016-09-12,8715.3
2016-09-14,8739.2
2016-09-15,8748.6
2016-09-16,8780.8
2016-09-19,8809.05
2016-09-20,8774.05
2016-09-21,8773.8
2016-09-22,8861.75
2016-09-23,8825.15
2016-09-26,8722.3
2016-09-27,8720.75
2016-09-28,8745.15
2016-09-29,8615.65
2016-09-30,8620.95
2016-10-03,8740.25
2016-10-04,8771.35
2016-10-05,8737.8
2016-10-06,8712.4
2016-10-07,8695.8
2016-10-10,8714.6
2016-10-13,8571.55
2016-10-14,8586.45
2016-10-17,8524.9
2016-10-18,8667.7
2016-10-19,8655.55
2016-10-20,8700.2
2016-10-21,8691.15
2016-10-24,8711.65
2016-10-25,8692.9
2016-10-26,8608.3
2016-10-27,8612.4
2016-10-28,8639.95
2016-11-01,8624.5
2016-11-02,8519.15
2016-11-03,8483.55
2016-11-04,8435.65
2016-11-07,8488.4
2016-11-08,8542.15
2016-11-09,8459.25
2016-11-10,8522.5
2016-11-11,8311.4
2016-11-15,8097.45
2016-11-16,8094.45
2016-11-17,8088.8
2016-11-18,8067.75
2016-11-21,7942.85
2016-11-22,8014.5
2016-11-23,8028.35
2016-11-24,7974.25
2016-11-25,8110.15
2016-11-28,8119.0
2016-11-29,8147.0
2016-11-30,8214.6
2016-12-01,8194.1
2016-12-02,8088.0
2016-12-05,8139.05
2016-12-06,8138.35
2016-12-07,8114.05
2016-12-08,8242.95
2016-12-09,8255.35
2016-12-12,8171.6
2016-12-13,8212.8
2016-12-14,8182.8
2016-12-15,8154.65
2016-12-16,8139.55
2016-12-19,8101.45
2016-12-20,8090.55
2016-12-21,8056.1
2016-12-22,7987.2
2016-12-23,7989.85
2016-12-26,7912.45
2016-12-27,8030.9
2016-12-28,8036.75
2016-12-29,8105.1
2016-12-30,8174.25
2017-01-02,8179.2
2017-01-03,8189.05
2017-01-04,8196.35
2017-01-05,8270.5
2017-01-06,8248.2
2017-01-09,8234.55
2017-01-10,8290.3
2017-01-11,8374.3
2017-01-12,8409.15
2017-01-13,8397.8
2017-01-16,8418.7
2017-01-17,8388.8
2017-01-18,8413.75
2017-01-19,8431.2
2017-01-20,8343.85
2017-01-23,8398.0
2017-01-24,8476.75
2017-01-25,8597.5
2017-01-27,8641.95
2017-01-30,8633.7
2017-01-31,8556.55
2017-02-01,8715.5
2017-02-02,8722.3
2017-02-03,8738.55
2017-02-06,8796.1
2017-02-07,8770.75
2017-02-08,8775.8
2017-02-09,8786.55
2017-02-10,8794.05
2017-02-13,8802.05
2017-02-14,8784.15
2017-02-15,8728.2
2017-02-16,8777.8
2017-02-17,8816.95
2017-02-20,8884.25
2017-02-21,8903.25
2017-02-22,8930.1
2017-02-23,8941.2
2017-02-27,8896.45
2017-02-28,8875.2
2017-03-01,8941.8
2017-03-02,8893.9
2017-03-03,8902.2
2017-03-06,8962.6
2017-03-07,8944.95
2017-03-08,8923.85
2017-03-09,8927.8
2017-03-10,8936.85
2017-03-14,9073.35
2017-03-15,9082.6
2017-03-16,9157.3
2017-03-17,9152.15
2017-03-20,9129.55
2017-03-21,9126.1
2017-03-22,9027.65
2017-03-23,9081.8
2017-03-24,9100.4
2017-03-27,9052.9
2017-03-28,9108.3
2017-03-29,9145.05
2017-03-30,9158.95
2017-03-31,9170.7
2017-04-03,9243.0
2017-04-05,9256.9
2017-04-06,9256.65
2017-04-07,9196.9
2017-04-10,9176.8
2017-04-11,9233.8
2017-04-12,9201.05
2017-04-13,9147.3
2017-04-17,9139.35
2017-04-18,9100.45
2017-04-19,9114.05
2017-04-20,9136.1
2017-04-21,9119.3
2017-04-24,9217.7
2017-04-25,9303.75
2017-04-26,9344.1
2017-04-27,9328.7
2017-04-28,9304.65
2017-05-02,9317.3
2017-05-03,9304.0
2017-05-04,9356.75
2017-05-05,9277.6
2017-05-08,9310.75
2017-05-09,9317.3
2017-05-10,9412.45
2017-05-11,9412.4
2017-05-12,9408.55
2017-05-15,9445.6
2017-05-16,9510.25
2017-05-17,9516.55
2017-05-18,9423.75
