experiment,seed,MAE,RMSE,MAPE,R2,training_time_sec,multi_5d_MAE,multi_5d_RMSE,multi_21d_MAE,multi_21d_RMSE
1,1,2756.1588939105554,2999.86274301143,12.251624181400704,-0.33464076672518117,211.4670398235321,,,,
2,2,2473.9139502355474,2888.3814157259562,10.772144394996328,-0.23728771758083034,237.53549218177795,,,,
3,3,235.84724412491278,299.08753432564123,1.0598110684655155,0.9867334425330313,212.17103600502014,,,,
4,4,1716.6653435829685,1919.8514344826579,7.634046534468634,0.45336572038476886,187.5208010673523,,,,
5,5,1339.8034453328385,1421.4949324877127,6.030334451345968,0.7003238025722703,209.80055165290833,,,,
6,6,236.95354719061385,296.1888696781245,1.0649999267029708,0.9869893472314215,197.66787576675415,,,,
7,7,389.5577674868439,611.503135192374,1.7079438442839423,0.9445426652534429,273.91366624832153,,,,
8,8,473.3433013664473,568.8928811639132,2.1145177355503195,0.952002058039425,237.8008484840393,,,,
9,9,249.28178077495798,350.97475989570984,1.163427268091304,0.981731058339618,210.9250569343567,,,,
10,10,394.8895236105736,613.0274888486628,1.740305653018071,0.9442658327977094,212.74622511863708,,,,
11,11,410.74103082439916,657.7459340863683,1.789897120148461,0.935837989795478,192.05340385437012,,,,
12,12,373.5281421697474,558.6576028571936,1.648723264085255,0.9537136383011798,243.26607251167297,,,,
13,13,1040.1700768896683,1209.2938804693583,4.572148082647048,0.7831170918225274,236.1306390762329,,,,
14,14,675.9131305732792,822.8250684476607,3.0441767491021743,0.8995900740318281,244.18256545066833,,,,
15,15,1054.0902746017846,1474.9817040471871,4.4560120684339255,0.6773476116001664,211.59061455726624,,,,
16,16,315.6896517366232,446.8216028666224,1.4097799123786603,0.9703905771582182,191.04887580871582,,,,
17,17,334.57265096966694,419.11491307904424,1.4849012093089702,0.9739487932047627,220.6071093082428,,,,
18,18,628.6803178340941,696.5747872168836,2.918870598223977,0.9280390116349302,238.42614817619324,,,,
19,19,2701.1502844615193,3148.0472074340482,11.744916922809562,-0.469752103307723,215.9689507484436,,,,
20,20,855.2019648040267,985.4437700984025,3.780142230636685,0.8559791684079279,205.27133989334106,,,,
21,21,1849.0801297379628,1896.1081632193143,8.44156179781217,0.46680283247139964,224.62053632736206,,,,
22,22,999.0600106181726,1089.5508470817679,4.473403028920467,0.8239416517426376,210.20356440544128,,,,
23,23,2077.461408517444,2255.151523738005,9.279413945978696,0.24575390102813177,188.80461645126343,,,,
24,24,990.9346587854047,1067.2642029183094,4.489371650575417,0.8310704972344697,197.9403018951416,,,,
25,25,1113.1418946636104,1349.185795238976,4.835493579958141,0.7300364453321255,203.99144983291626,,,,
26,26,549.9533534160306,740.4418896588811,2.442317303997874,0.918690071586267,218.37513661384583,,,,
27,27,782.7456431342137,905.1172047288551,3.5723332523299263,0.8785014043734733,184.84606075286865,,,,
28,28,1561.0769383183163,1790.4369538304588,6.875275050850604,0.5245775524061633,213.5638725757599,,,,
29,29,350.28291072242575,397.9548052813223,1.6586594513967774,0.97651291475565,238.9732220172882,,,,
30,30,693.6463293672667,816.2205850143366,3.132790765720724,0.9011955045829906,256.1128911972046,,,,
31,31,673.3836131117062,847.5918026814957,2.941292210966136,0.8934544995958734,219.69498085975647,,,,
32,32,911.6258019969868,1059.089242409309,4.080101299317877,0.8336484961854652,204.4682080745697,,,,
33,33,2045.9931075215634,2353.4231143461793,8.94624109757516,0.17858685808252317,203.08170533180237,,,,
34,34,247.0633306709005,342.27843669101446,1.170473951197611,0.9826251646720174,205.56954216957092,,,,
35,35,1049.2657876093201,1120.60303622269,4.724205038077744,0.813763325822763,230.5107400417328,,,,
36,36,573.6344373269629,733.0747038504106,2.5564795021203435,0.92030004339702,241.22370433807373,,,,
37,37,961.8873031593129,1050.4842954694393,4.327563877422986,0.8363406786027425,269.07917881011963,,,,
38,38,388.5139011772289,569.8522630759165,1.6892810980854882,0.951840033915482,219.86089491844177,,,,
39,39,1360.869865677893,1582.0472031421193,6.005170492656588,0.6288063891851414,210.35466885566711,,,,
40,40,939.0648170566732,1049.4310217225736,4.176114612848539,0.8366687018763913,256.95850014686584,,,,
41,41,744.1048384869666,1078.8998466521175,3.15869819993612,0.8273669750644852,193.4578640460968,,,,
42,42,564.6043821786136,838.2534087723208,2.4654669377765814,0.8957893093750832,272.9339761734009,,,,
43,43,2120.6255603209743,2692.0013490494794,9.125496453573643,-0.07476165669232704,204.05575156211853,,,,
44,44,1110.3327245708415,1219.1156113063043,4.989799439476987,0.7795797944816655,211.71938109397888,,,,
45,45,292.7787845131823,385.43785528633174,1.3744763965404094,0.9779671666338714,239.12087154388428,,,,
46,46,384.149110110959,493.1309803361338,1.7858500586755397,0.9639349787423337,268.6130712032318,,,,
47,47,419.45242935090585,621.6656110088661,1.8116211601488887,0.9426840750137396,225.77519464492798,,,,
48,48,931.0520234696378,981.7181497537665,4.270366132884885,0.8570660952726334,226.98064398765564,,,,
49,49,1285.0344285198464,1479.0541158173833,5.619158028258306,0.6755634710712575,246.0747425556183,,,,
50,50,1346.4227616698558,1451.9796455643827,6.023857015527711,0.6873325481318595,288.9984645843506,,,,
