Regime,Model,RMSE,MAE,MAPE,R2,DA
HIGH,Adaptive,578.9484154642068,447.2116046756102,2.0298745008684564,0.9461555880295949,52.2707423580786
HIGH,Static,456.9929543155592,383.80638344226554,1.7103224541764994,0.9665051580657972,52.40174672489083
LOW,Adaptive,1716.6323565760933,1378.1707837104102,6.9910614864227085,0.5179763658662824,43.48837209302326
LOW,Static,373.9315332724291,301.6897832369944,1.4618221943870806,0.9772366329387566,51.162790697674424
