experiment,seed,MAE,RMSE,MAPE,R2,training_time_sec
1,1,335.5831379096826,451.9098208966736,1.4962630405523838,0.9697123779832072,268.25971722602844
2,2,560.8594010527496,670.5259943417044,2.484576994535046,0.9333204200343846,242.7715404033661
3,3,1140.6658880735802,1227.0140727892556,5.1571836191943214,0.7767144054096978,200.78417468070984
4,4,608.3464892903944,650.4243306089496,2.882996105966748,0.9372584598925282,198.51375794410703
5,5,438.4804719822552,528.6964274294014,1.981285767436162,0.9585452434312688,207.24438619613647
6,6,1216.3471022823007,1554.6981077930436,5.188608023109699,0.6415292225910522,196.79675602912903
7,7,657.4286867515833,761.0660433684625,2.9539917728704634,0.9140974000564036,199.93676900863647
8,8,1687.297595673158,1892.7372780332516,7.455641170738614,0.4686969741816682,198.39976739883423
9,9,1080.2980097017098,1146.269413547181,4.875443901788977,0.8051344687260817,182.09948134422305
10,10,1273.1241978191938,1427.2850762104033,5.627481132899049,0.6978775016748362,228.1463820934296
11,11,1552.6478376219893,1781.0101704401918,6.822983595402131,0.5295706421316775,192.47766280174253
12,12,714.29498606215,873.4317769198253,3.1605482698672382,0.8868591090912071,201.04364275932312
13,13,623.1821699456412,877.1398709961302,2.6930590825379705,0.8858964062533936,237.63683199882507
14,14,1906.08506305713,2212.982263586687,8.297803644334513,0.2736975918668435,213.53446340560916
15,15,292.29494872727554,404.326240987437,1.347473573488782,0.9757548165740264,218.8663551807404
16,16,869.17873740502,1099.8697893589724,3.7346657460038095,0.8205910253273238,207.38796663284305
17,17,424.41215871476544,628.1261563037006,1.8333408357142555,0.9414865945057151,197.90089225769043
18,18,584.0883935248291,733.1714049026815,2.564199140536788,0.9202790153136476,223.2158887386322
19,19,839.2080581469138,1043.3386544352784,3.677593061547254,0.8385596043461843,204.43454360961917
20,20,1611.3213876795692,1918.8256409172293,6.983750686510143,0.4539497073684074,180.4757075309753
21,21,315.35624237817945,391.50462091870696,1.4436856557509006,0.9772681175015544,163.49610543251038
22,22,355.96934921704894,551.2936986394951,1.5690446754513108,0.9549258366092152,184.58584094047544
23,23,234.38817466374903,281.0364821064216,1.0913365593032918,0.9882864909147128,212.9814076423645
24,24,926.1413314816292,1153.6503936322522,3.98381878566801,0.8026168593650543,277.51901602745056
25,25,604.0917241131723,743.7350184942849,2.68505277740949,0.9179652084568066,238.93289875984192
26,26,518.8755780428423,675.9236186726376,2.2770341745268827,0.9322425798318488,195.5462784767151
27,27,709.5260066640992,757.1533557375068,3.278138583814995,0.9149783907718035,240.18143129348755
28,28,625.3414083461262,724.8553907667738,2.795915817391795,0.9220772333200571,188.70425653457642
29,29,284.58782033822206,395.3268124204043,1.2978280852308544,0.9768220960347516,252.96536779403687
30,30,761.0658503019723,896.9088651626495,3.3704332015338005,0.8806951082442976,241.3760392665863
31,31,599.7827220858888,690.6555766767426,2.7125103326344266,0.929256806087854,236.06752824783325
32,32,701.8350772149075,769.948878158877,3.2939225452112546,0.9120804616957984,202.8064901828766
33,33,1728.4551668450083,1941.4340610445217,7.621304689025599,0.44100630787122785,170.54054236412048
34,34,1515.7154056786983,1702.9934696888984,6.7236570810575325,0.5698820344269596,218.75584840774536
35,35,586.2834268740318,897.5540468339049,2.5195650236587808,0.8805234051484585,219.50531888008118
36,36,1629.2059335048616,1795.4677448532052,7.212384720744022,0.5219021036433309,173.3388273715973
37,37,963.9464992494715,1089.703708034105,4.24071257267323,0.8238922472844166,196.46439456939697
38,38,222.1330557297528,271.369765067312,1.0464308241896985,0.9890784435446413,247.14387941360474
39,39,445.3470588434932,566.5506674347657,1.9516221897246129,0.9523964732790521,206.83310413360596
40,40,359.66080327633773,440.039314750532,1.6698182692129235,0.9712826357273291,231.3543677330017
41,41,516.0637381554487,633.4543486300339,2.343021630480306,0.9404896832953303,218.49857640266418
42,42,1547.7184939302194,1843.5072487919992,6.709639344693236,0.495975883575244,190.71894359588623
43,43,629.7416994723384,686.3721530837519,2.935197476474218,0.9301315790033606,204.2272174358368
44,44,2481.8031700615197,2838.931272076953,10.83687198331286,-0.19528474085210812,232.25103497505188
45,45,372.88342655185033,489.3705394333462,1.7258363721394991,0.9644829195133121,195.40463042259216
46,46,1015.354279384383,1077.8968240938548,4.594565344983292,0.8276878099043252,183.74485421180725
47,47,300.53164447145093,385.34399494306103,1.3877172798239672,0.9779778960289102,199.33655977249146
48,48,282.4426712051243,423.37940590706154,1.2565453812181409,0.973415954226148,198.54295587539673
49,49,1298.1327158838967,1352.8830455610496,5.939191152656701,0.7285548251590227,209.35968112945557
50,50,298.60342180204265,418.9929905621337,1.3635842113532712,0.9739639478395034,213.3067057132721
