experiment,seed,MAE,RMSE,MAPE,R2,training_time_sec
1,1,651.9700437181489,829.8740435075115,3.0758746675350634,0.8978623221071458,140.47314643859863
2,2,358.1149673279,440.540703570766,1.686018104933699,0.971217156267181,101.66644477844238
3,3,1441.6352462990544,1724.3481691876887,6.369183771058635,0.5590274680330932,69.88953924179077
4,4,1384.464859555704,1629.7761568166236,6.077986818437939,0.6060713773858755,82.46987175941467
5,5,315.7836624581398,411.2505749153324,1.569800191466222,0.9749172786268867,129.25815987586975
6,6,1244.6509812560384,1466.6651509359788,5.452070302817927,0.6809758475111394,106.7610456943512
7,7,314.7792536738543,390.79500472633833,1.4857437113988368,0.9773504475284,109.70742797851562
8,8,305.59165205376695,365.88424702080266,1.4517340643283356,0.9801459532213469,117.72258496284485
9,9,1204.2240959171468,1358.2377395902208,5.436547086371834,0.7264018196340136,102.89850401878357
10,10,1586.0391344331078,1917.1831243821673,6.8343677974308665,0.45488414637456676,81.13712954521179
11,11,1153.3558400103816,1273.131973289693,5.452261468685782,0.7596143891069382,109.61096024513245
12,12,573.155628088203,675.5179726206123,2.6703146772682014,0.9323238827533638,110.19977927207947
13,13,1544.7004413405602,1850.2089409787568,6.678232715888155,0.49230467028243663,112.39666032791138
14,14,751.349374717048,991.4400000849911,3.504772381396432,0.8542211596445775,95.44055581092834
15,15,681.4019358530179,810.6091865032654,3.1717088237817492,0.9025493679644406,111.76763916015625
16,16,1225.1032365190053,1356.0255004686526,5.634947872282239,0.7272923436801583,97.11440587043762
17,17,1072.3206686104745,1211.1673830228638,5.127301435784088,0.7824445581341858,99.89496636390686
18,18,1248.7899129853847,1463.6962095989334,5.484564760063423,0.6822661288415994,104.75381898880005
19,19,324.4562013291033,407.0441734987558,1.6012358750374238,0.975427762582355,125.40027523040771
20,20,1519.2646050281792,1745.6983022211932,6.903246846083022,0.5480400032986317,65.12458825111389
21,21,354.21930921058356,438.5258583414297,1.7062404015692645,0.9714798350950348,115.69277334213257
22,22,1238.8025252123675,1523.9741996820608,5.84290543729172,0.6555574093971909,82.39013123512268
23,23,344.54789191571587,432.0731117550386,1.6575409245329031,0.9723129873546491,133.49213647842407
24,24,628.21278466233,776.3505311373901,2.940113632007442,0.910612389762523,112.13978958129883
25,25,1165.9524616290523,1320.1633616435206,5.315268936565839,0.7415259373592236,81.38884139060974
26,26,1199.2852882229138,1304.2375588703535,5.587669285417117,0.7477245305122987,90.59425067901611
27,27,1382.6207391547277,1561.799369435563,6.241395294599068,0.6382470311268379,94.00430846214294
28,28,1263.7682854746174,1443.365126247443,5.645794814577849,0.6910316215654018,98.70629262924194
29,29,1487.4214516669435,1786.9132838131006,6.428025101637515,0.526447021588334,99.12407565116882
30,30,1138.4188015858306,1277.6286294674833,5.2358320748278615,0.7579133237493605,100.74615669250488
31,31,291.0710767145926,365.0187035885421,1.4210212630455306,0.9802397764120381,124.3577094078064
32,32,1308.1200223367207,1522.6243312758124,5.804061389123629,0.6561673229429261,96.58525466918945
33,33,1558.9866920087256,1908.9627962153222,6.807079044622079,0.4595487237582556,97.70318531990051
34,34,343.9578217859117,426.43888598060374,1.631201576388659,0.973030355738843,97.11043858528137
35,35,1336.4138799074453,1630.4759512671358,5.956085626401999,0.6057330140513281,96.23679423332214
36,36,379.0253314250565,461.5554939111664,1.8051131700665881,0.9684056469219025,88.51787686347961
37,37,636.6086525566757,794.3094464830763,2.997254942021212,0.9064290426795328,79.81732249259949
38,38,285.75144199205073,352.2569953567223,1.3251085057326484,0.9815973286382759,103.67199158668518
39,39,1211.9063704076152,1372.748066920179,5.4659341163889525,0.7205247847263125,92.2547242641449
40,40,1188.4525243088613,1325.0600728429558,5.6447318413349485,0.7396049324708727,102.81437945365906
41,41,1303.2241960743645,1493.052081083554,5.828060061069117,0.6693933902551179,87.43240571022034
42,42,677.846218717365,813.1617757190342,3.1217580018445483,0.9019346621536755,110.5843825340271
43,43,1138.0694937509732,1276.5502897654183,5.190799762106094,0.7583218016158663,106.17215347290039
44,44,1097.0866713614384,1227.022715077641,5.106275960850164,0.7767112600418666,96.91378235816956
45,45,1293.9933251667173,1470.2563185653692,5.802766064290887,0.6794116570630964,106.13165402412415
46,46,334.20441923735433,415.6504807528023,1.618681979938576,0.974377695269171,116.18096327781677
47,47,1407.5720788373492,1679.6933885271953,6.127005895928534,0.5815711283357103,108.83265995979309
48,48,332.63080466752126,423.72114351217084,1.629686874012955,0.9733730214123664,99.43165040016174
49,49,1167.259872076903,1310.1453756765395,5.340944574100233,0.7454338852516728,103.35211229324341
50,50,341.2498094648141,420.47957696971065,1.6152743951438473,0.9737788683537978,89.45086693763733
