Date,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,Residual,Close
2015-01-09,-15.100179911057745,-154.51880201180168,-89.54688801030335,-83.91000715982312,141.71535061911538,565.8204366636944,343.3434050463893,7572.446684763787,0.0,8280.25
2015-01-12,43.85612541831588,-164.21402325765874,-94.8770367322638,-84.91776317793581,143.78412341383665,567.2190181535414,344.7426922155938,7570.95686396657,0.0,8326.55
2015-01-13,16.67977334842087,-172.2975809434691,-87.60074403238558,-83.37531232605316,146.21822143653014,568.5738275603547,346.1207155213706,7569.48109943523,0.0,8303.8
2015-01-14,-51.22753123464971,-146.98299508524562,-68.91573264850122,-79.50164463900065,148.99651149792277,569.8846154626063,347.47732749150776,7568.01944915536,0.0,8287.75
2015-01-15,23.25025482070493,-84.556740536994,-42.560518632999155,-73.60758724399192,152.08910738819648,571.151132438749,348.8123807214136,7566.57197104492,0.0,8461.15
2015-01-19,-11.46550497234099,-2.74788536457961,-12.582714680386976,-66.00602844813208,155.46455356982236,572.3731290672519,350.12572780294454,7565.13872302542,0.0,8550.3
2015-01-20,24.073630559370248,59.33849074548244,17.071753706611442,-57.01236501671191,159.09114973232903,573.5503559265929,351.4172213227267,7563.719763023598,1.8189894035458565e-12,8691.25
2015-01-21,1.7830736817685904,77.41381079091852,43.17745549557919,-46.945961962343574,162.93719556525593,574.6825635952166,352.6867138627009,7562.315148970903,0.0,8728.05
2015-01-22,-10.637068563453436,87.25669811663971,64.10412297670247,-36.12319973380538,166.97094774875958,575.7695026516054,353.93405800382783,7560.924938799724,0.0,8762.2
2015-01-23,-9.748909214325083,116.31172395097444,79.16640701095506,-24.85885963511458,171.160417443756,576.8109236741964,355.159106327086,7559.549190442472,0.0,8823.55
2015-01-27,22.55834247007922,139.34796420188397,87.93012004783947,-13.465956081030985,175.4732788747585,577.8065772414961,356.36171141343476,7558.18796183154,0.0,8904.2
2015-01-28,-20.256165907075488,167.1321272282761,89.15616811633281,-2.2485128972273296,179.87713278457292,578.7562139319334,357.54172584384787,7556.841310899339,0.0,8906.8
2015-01-29,35.15442136140545,146.21401380052805,82.10291598755049,8.521180317128147,184.3395864318345,579.6595841393533,358.69900238394615,7555.509295578255,0.0,8950.2
2015-01-30,-31.115033569658088,82.89008010689871,67.65076302483,18.654073498906435,188.82831108142418,580.5164375189732,359.83339453792433,7554.191973800703,0.0,8821.45
2015-02-02,4.175914191662348,30.045011486984674,47.41756066785473,28.039640382675735,193.31119023572973,581.3265235413957,360.9447559946231,7552.889403499074,0.0,8798.15
2015-02-03,-10.46926173376363,3.4909743051505564,23.55560237428168,36.592008813693646,197.75650151476864,582.0895914958207,362.03294062427597,7551.601642605773,-1.8189894035458565e-12,8746.65
2015-02-04,-16.539129639704473,-11.169732048246269,-0.9341889244788263,44.22783667770527,202.1332719129573,582.8053898186546,363.09780314991497,7550.328749053198,0.0,8713.95
2015-02-05,15.152304233628197,-46.40266328375389,-23.324678351371013,50.88010434864607,206.4112870382335,583.4736660704223,364.1391991704477,7549.070780773747,0.0,8699.4
2015-02-06,41.67194662063541,-97.40461047561995,-42.442409196561826,56.53536921653612,210.56075603874575,584.094166573571,365.15698552286653,7547.827795699827,0.0,8666.0
2015-02-09,-46.55571853847006,-150.3148995931973,-58.03817777423142,61.23917277095703,214.55211467641556,584.6666358020818,366.151020892606,7546.599851763837,0.0,8518.3
2015-02-10,9.40070520278771,-141.56991717879072,-70.12614549965164,65.0889702284086,218.35739815397937,585.1908168242434,367.1211653708483,7545.387006898175,0.0,8578.85
2015-02-11,2.838469028207053,-76.60812131690315,-78.82185785575544,68.21774739918332,221.95071195297743,585.6664508368204,368.06728092022735,7544.189319035243,0.0,8635.5
2015-02-12,8.487832023179276,9.884235925282999,-84.10143067225229,70.73263386458125,225.30737421175183,586.0932760456782,368.9892324943452,7543.006846107433,0.0,8728.4
2015-02-13,17.744325639479886,71.87177567724561,-85.86669785048893,72.69856732459003,228.4044674585895,586.4710257577152,369.8868899456998,7541.839646047169,0.0,8803.05
2015-02-16,-25.069831276357355,114.14768641714579,-84.03276304914178,74.18791772428693,231.2196569905498,586.799421625665,370.7601347810272,7540.687776786824,1.8189894035458565e-12,8808.7
2015-02-18,-1.6335428898432849,138.1160846540902,-78.48013565033003,75.27802973393575,233.73123408405218,587.0781660904141,371.6088677188649,7539.551296258816,0.0,8865.25
2015-02-19,31.433919671336355,125.6845992908692,-68.88656753606463,76.02794056524884,235.91989454246865,587.306938109223,372.4330129613799,7538.430262395538,1.8189894035458565e-12,8898.35
2015-02-20,-9.23048639695651,79.75780742118765,-55.07300534044772,76.43085819668573,237.77217951487253,587.4854005277018,373.23251294756415,7537.324733129394,-1.8189894035458565e-12,8827.7
2015-02-23,-43.36166585444607,9.712395273152074,-37.09112052396333,76.40481398330932,239.28027380942157,587.613213841548,374.00732307819715,7536.234766392779,1.8189894035458565e-12,8742.8
2015-02-24,12.814604283064494,-50.72463251950985,-15.154198681453659,75.8151278717969,240.44121776819276,587.6900471280284,374.75741403177324,7535.160420118107,0.0,8760.8
2015-02-25,45.71818814215586,-103.95584255229461,10.437816885337417,74.49368901266452,241.2559972633687,587.715626672685,375.4827723383236,7534.101752237761,-1.8189894035458565e-12,8765.25
2015-02-26,-51.706676784765655,-103.63961205075051,39.09195739053018,72.24599461598127,241.72633331788538,587.689781558902,376.18340126806254,7533.058820684155,0.0,8694.65
2015-02-27,32.12576135640666,-57.40344850434986,68.69831408602973,68.8726588558471,241.85315270800845,587.6125576037523,376.8593205046242,7532.03168338968,0.0,8850.65
2015-02-28,11.243247249286808,12.168530167716687,95.51148312941463,64.17529802589091,241.6361047614885,587.4843775123938,377.5105608670646,7531.020398286744,0.0,8920.75
2015-03-02,1.4705177394993159,50.17223878763284,115.40748348043863,57.95801238900746,241.0735933791216,587.3059689244488,378.1371619921074,7530.025023307743,0.0,8961.55
2015-03-03,16.793060692163788,70.5682783997556,124.30315633941447,50.06113576427422,240.1613544387935,587.0782283231842,378.7391696573411,7529.045616385072,0.0,8996.75
2015-03-04,-43.37454748608553,68.79155186549082,119.40862831023543,40.48085582550351,238.89251345406254,586.8021295436967,379.3166330359412,7528.082235451155,0.0,8918.4
2015-03-05,49.99031717609744,25.262923411326202,102.36257973898299,29.39292771524868,237.2580301914958,586.4786799922944,379.86960333618805,7527.134938438366,0.0,8937.75
2015-03-09,-50.4854653347956,-29.662405432602228,78.37666170724336,17.0619758473347,235.24841945020253,586.1088959070331,380.39813457646767,7526.203783279117,0.0,8743.25
2015-03-10,-9.578456118695684,-46.671066211274976,53.34762317016092,3.7628009235814983,232.8541945046382,585.6937928763012,380.90228294948287,7525.288827905806,0.0,8725.6
2015-03-11,-13.139604859848893,-29.028843770270626,33.13681532021193,-10.240856706632444,230.06586862930615,585.2343859187483,381.3821052176524,7524.390130250832,0.0,8701.8
2015-03-12,56.74069150292087,-0.15592245497462626,22.506316231277047,-24.642136820920467,226.87395509867144,584.7316900098517,381.83765818657173,7523.507748246602,0.0,8771.4
2015-03-13,-28.829998127610097,-6.766415515316885,23.285767984691972,-38.95578014141601,223.26896718721233,584.1867201250411,382.2689986618843,7522.6417398255135,0.0,8661.1
2015-03-16,-42.90147388851189,-1.6801161192844742,29.363647441909432,-52.49231321247251,219.24141816941057,583.6004912397676,382.67618344921925,7521.792162919963,0.0,8639.6
